gene	variants	fams	biotype	description	omim_hit
AAA1	3	MGP43			
AARS2	1	MGP43			 ALANYL-tRNA SYNTHETASE 2; AARS2
ABCG4;ABCG4	1	MGP41			
ACAD9	2	MGP43			 ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9; ACAD9
ACAN	1	MGP43			 AGGRECAN; ACAN
ACBD5	1	MGP43			
ACSF3	5	MGP43	protein_coding	acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:27288]	
ACTL7A	1	MGP41			 ACTIN-LIKE 7A; ACTL7A
ACTR5	1	MGP43	protein_coding	ARP5 actin-related protein 5 homolog (yeast) [Source:HGNC Symbol;Acc:14671]	
ACTR8	1	MGP44			
ACY1	1	MGP43	protein_coding	aminoacylase 1 [Source:HGNC Symbol;Acc:177]	 AMINOACYLASE 1; ACY1
ADAMTS16	1	MGP43	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 16 [Source:HGNC Symbol;Acc:17108]	 A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE
ADAMTS4	1	MGP43	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 4 [Source:HGNC Symbol;Acc:220]	 A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE
ADAMTSL1	1	MGP43	protein_coding	ADAMTS-like 1 [Source:HGNC Symbol;Acc:14632]	 ADAMTS-LIKE PROTEIN 1; ADAMTSL1
ADH1C	1	MGP43			 ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE; ADH1C
ADRM1	1	MGP43			 ADHESION-REGULATING MOLECULE 1; ADRM1
AFAP1-AS1	1	MGP43			
AFG3L1P	2	MGP43			
AGBL3	1	MGP43	protein_coding	ATP/GTP binding protein-like 3 [Source:HGNC Symbol;Acc:27981]	
AHNAK	1	MGP43	protein_coding	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:347]	 AHNAK NUCLEOPROTEIN; AHNAK
AHNAK2	1	MGP43			 AHNAK NUCLEOPROTEIN 2
AIFM3	1	MGP43	protein_coding	apoptosis-inducing factor, mitochondrion-associated, 3 [Source:HGNC Symbol;Acc:26398]	
AIM1	1	MGP44			 ABSENT IN MELANOMA 1; AIM1
AKD1	1	MGP43	protein_coding	adenylate kinase domain containing 1 [Source:HGNC Symbol;Acc:33814]	
ALDH3B2	1	MGP43			 ALDEHYDE DEHYDROGENASE 3 FAMILY, MEMBER B2; ALDH3B2
ALPK2	1	MGP43			
ALS2CL	2	MGP43			 ALS2 C-TERMINAL-LIKE PROTEIN; ALS2CL
AMDHD2,CEMP1	1	MGP43			
ANKRD11	1	MGP43			 ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 11; ANKRD11
ANKRD13D	1	MGP43			
ANKRD18A	1	MGP43			
ANKRD24	1	MGP43			
ANKRD30BL	2	MGP43			
